time  (s)	size (kb)	%mem	%cpu
1	632048	0.9	104
2	1303152	1.9	106
3	1939760	2.9	107
4	2646144	4	107
5	3335280	5	108
6	4029120	6.1	108
7	4714336	7.1	108
9	5408176	8.2	108
10	6098880	9.2	97.4
11	6825648	10.3	98.4
12	7559472	11.4	99.3
13	8309760	12.6	100
14	9060048	13.7	100
15	9813472	14.8	101
16	10570816	16	101
17	11307776	17.1	102
18	12054928	18.2	102
19	12804432	19.4	102
20	13556288	20.5	103
22	14272080	21.6	103
23	15006688	22.7	99.2
24	15763248	23.9	99.5
25	16515888	25	99.9
26	17251280	26.1	100
27	17989024	27.2	100
28	18728336	28.4	100
29	19463728	29.5	101
30	20214800	30.6	101
31	20967440	31.8	101
32	21721648	32.9	101
34	22433520	34	102
35	23096000	35	99.4
36	23753776	36	99.7
37	24404496	37	100
38	25061488	38	100
39	25724752	39	100
40	26382528	40	100
41	27052064	41	101
42	27732576	42	101
43	28488352	43.2	101
45	29241776	44.3	101
46	29999120	45.4	99.6
47	30740784	46.6	99.7
48	31476960	47.7	99.9
49	32210784	48.8	100
50	32903056	49.9	100
51	33585136	50.9	100
52	34295440	52	100
53	35033968	53.1	100
59	0	0	93.6
60	0	0	93.8
