array_sum: 0.014399 s (10000000.0)
sum: 0.011866 s (10000000.0)
py_sum: 4.600296 s (10000000.0)
         43255 function calls (41217 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    4.600    0.460    4.600    0.460 compute_sums.py:9(py_sum)
      107    0.021    0.000    0.021    0.000 {built-in method loads}
       10    0.014    0.001    0.014    0.001 {array_sum.array_sum}
       10    0.011    0.001    0.011    0.001 {method 'reduce' of 'numpy.ufunc' objects}
    15/14    0.011    0.001    0.013    0.001 {built-in method load_dynamic}
  277/275    0.009    0.000    0.022    0.000 {built-in method __build_class__}
       32    0.008    0.000    0.009    0.000 sre_compile.py:255(_optimize_charset)
      107    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:1621(get_data)
        1    0.006    0.006    0.006    0.006 {built-in method copyto}
      522    0.005    0.000    0.005    0.000 {built-in method stat}
      225    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap>:2016(find_spec)
    113/1    0.004    0.000    4.794    4.794 {built-in method exec}
     1238    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
      107    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
     1186    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:50(_path_join)
      107    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
     1186    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
     2068    0.002    0.000    0.002    0.000 {built-in method hasattr}
        1    0.002    0.002    0.002    0.002 {built-in method dlopen}
    38/20    0.002    0.000    0.006    0.000 sre_parse.py:441(_parse)
      707    0.002    0.000    0.002    0.000 sre_parse.py:195(__next)
      128    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
      977    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      107    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap>:1534(get_code)
      263    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
     1563    0.001    0.000    0.001    0.000 {built-in method getattr}
      272    0.001    0.000    0.004    0.000 function_base.py:3511(add_newdoc)
   701/27    0.001    0.000    0.151    0.006 <frozen importlib._bootstrap>:2264(_handle_fromlist)
      304    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:192(acquire)
    132/4    0.001    0.000    0.159    0.040 <frozen importlib._bootstrap>:2234(_find_and_load)
    132/4    0.001    0.000    0.159    0.040 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
     2606    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    307/6    0.001    0.000    0.150    0.025 {built-in method __import__}
      107    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
      304    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
    126/4    0.001    0.000    0.157    0.039 <frozen importlib._bootstrap>:1186(_load_unlocked)
      304    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:217(release)
     1477    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      214    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
      124    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
     1805    0.001    0.000    0.001    0.000 {built-in method isinstance}
    75/19    0.001    0.000    0.010    0.001 sre_compile.py:70(_compile)
2551/2512    0.001    0.000    0.001    0.000 {built-in method len}
      995    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        4    0.001    0.000    0.223    0.056 __init__.py:1(<module>)
      619    0.001    0.000    0.003    0.000 sre_parse.py:220(get)
      172    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
      107    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:739(__exit__)
    107/3    0.001    0.000    0.156    0.052 <frozen importlib._bootstrap>:1465(exec_module)
       14    0.001    0.000    0.001    0.000 {built-in method listdir}
      107    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:129(_new_module)
      107    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
      214    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:824(cached)
      510    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      122    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
        1    0.001    0.001    4.794    4.794 compute_sums.py:3(<module>)
      178    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
   109/53    0.000    0.000    0.001    0.000 sre_parse.py:152(getwidth)
    33/19    0.000    0.000    0.006    0.000 sre_parse.py:363(_parse_sub)
      132    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:261(__enter__)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:56(_path_split)
     1625    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
