Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/05/2016
TIME       : 10:21:13
FILENAME   : vei_t8303_160519102111_T8303.CSV
CREATED BY : SWS Diver-Office 5.0.25.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
                          =0
  Location                =vei_t8303
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB00-T8303  214.
  Instrument number       =                    
  Location                =vei_t8303
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 23/03/16
  End date / time         =00:20:09 19/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
16385
Date/time;Druk[cm];Temperatuur[°C]
2016/03/23 12:00:00;1033.4;20.87
2016/03/23 12:05:00;1034.6;21.13
2016/03/23 12:10:00;1035.1;21.41
2016/03/23 12:15:00;1035.3;21.69
2016/03/23 12:20:00;1035.4;21.91
2016/03/23 12:25:00;1035.4;21.71
2016/03/23 12:30:00;1035.3;20.09
2016/03/23 12:35:00;1035.3;19.08
2016/03/23 12:40:00;1035.3;17.75
2016/03/23 12:45:00;1035.4;16.40
2016/03/23 12:50:00;1035.6;15.56
2016/03/23 12:55:00;1036.0;16.47
2016/03/23 13:00:00;1035.8;17.56
2016/03/23 13:05:00;1036.1;18.54
2016/03/23 13:10:00;1036.0;19.02
2016/03/23 13:15:00;1035.6;15.98
2016/03/23 13:20:00;1035.6;13.86
2016/03/23 13:25:00;1035.6;12.39
2016/03/23 13:30:00;1035.8;11.30
2016/03/23 13:35:00;1036.0;10.50
2016/03/23 13:40:00;1035.8;9.89
2016/03/23 13:45:00;1035.8;9.42
2016/03/23 13:50:00;1035.7;9.07
2016/03/23 13:55:00;1035.9;8.80
2016/03/23 14:00:00;1035.7;8.59
2016/03/23 14:05:00;1035.7;8.42
2016/03/23 14:10:00;1035.6;8.30
2016/03/23 14:15:00;1035.7;8.21
2016/03/23 14:20:00;1035.6;8.13
2016/03/23 14:25:00;1035.6;8.07
2016/03/23 14:30:00;1035.6;8.03
2016/03/23 14:35:00;1035.4;7.99
2016/03/23 14:40:00;1035.4;7.96
2016/03/23 14:45:00;1035.4;7.94
2016/03/23 14:50:00;1035.6;7.92
2016/03/23 14:55:00;1035.4;7.90
2016/03/23 15:00:00;1035.4;7.90
2016/03/23 15:05:00;1035.2;7.89
2016/03/23 15:10:00;1035.3;7.88
2016/03/23 15:15:00;1035.6;7.87
2016/03/23 15:20:00;1035.6;7.87
2016/03/23 15:25:00;1035.4;7.86
2016/03/23 15:30:00;1035.3;7.86
2016/03/23 15:35:00;1035.3;7.86
2016/03/23 15:40:00;1035.4;7.85
2016/03/23 15:45:00;1035.4;7.85
2016/03/23 15:50:00;1035.4;7.85
2016/03/23 15:55:00;1035.4;7.84
2016/03/23 16:00:00;1035.2;7.84
2016/03/23 16:05:00;1035.1;7.84
2016/03/23 16:10:00;1035.2;7.84
2016/03/23 16:15:00;1035.1;7.84
2016/03/23 16:20:00;1035.1;7.84
2016/03/23 16:25:00;1035.1;7.84
2016/03/23 16:30:00;1035.3;7.84
2016/03/23 16:35:00;1035.1;7.84
2016/03/23 16:40:00;1035.3;7.84
2016/03/23 16:45:00;1035.3;7.84
2016/03/23 16:50:00;1035.1;7.84
2016/03/23 16:55:00;1035.3;7.84
2016/03/23 17:00:00;1035.3;7.84
2016/03/23 17:05:00;1035.1;7.84
2016/03/23 17:10:00;1035.1;7.84
2016/03/23 17:15:00;1035.3;7.84
2016/03/23 17:20:00;1035.1;7.84
2016/03/23 17:25:00;1035.3;7.84
2016/03/23 17:30:00;1035.3;7.84
2016/03/23 17:35:00;1035.4;7.84
2016/03/23 17:40:00;1035.4;7.84
2016/03/23 17:45:00;1035.4;7.84
2016/03/23 17:50:00;1035.3;7.84
2016/03/23 17:55:00;1035.4;7.84
2016/03/23 18:00:00;1035.4;7.84
2016/03/23 18:05:00;1035.4;7.84
2016/03/23 18:10:00;1035.4;7.84
2016/03/23 18:15:00;1035.6;7.84
2016/03/23 18:20:00;1035.4;7.84
2016/03/23 18:25:00;1035.4;7.84
2016/03/23 18:30:00;1035.6;7.84
2016/03/23 18:35:00;1035.6;7.84
2016/03/23 18:40:00;1035.6;7.84
2016/03/23 18:45:00;1035.6;7.84
2016/03/23 18:50:00;1035.8;7.84
2016/03/23 18:55:00;1035.8;7.84
2016/03/23 19:00:00;1035.8;7.84
2016/03/23 19:05:00;1036.0;7.84
2016/03/23 19:10:00;1035.8;7.84
2016/03/23 19:15:00;1035.7;7.84
2016/03/23 19:20:00;1035.7;7.84
2016/03/23 19:25:00;1035.7;7.84
2016/03/23 19:30:00;1035.7;7.84
2016/03/23 19:35:00;1035.9;7.84
2016/03/23 19:40:00;1035.7;7.84
2016/03/23 19:45:00;1035.9;7.84
2016/03/23 19:50:00;1035.9;7.84
2016/03/23 19:55:00;1035.9;7.84
2016/03/23 20:00:00;1035.7;7.84
2016/03/23 20:05:00;1035.9;7.84
2016/03/23 20:10:00;1035.9;7.84
2016/03/23 20:15:00;1035.7;7.84
2016/03/23 20:20:00;1035.6;7.84
2016/03/23 20:25:00;1035.9;7.85
2016/03/23 20:30:00;1035.9;7.85
2016/03/23 20:35:00;1036.1;7.85
2016/03/23 20:40:00;1036.3;7.85
2016/03/23 20:45:00;1036.1;7.85
2016/03/23 20:50:00;1036.3;7.85
2016/03/23 20:55:00;1036.3;7.85
2016/03/23 21:00:00;1036.1;7.85
2016/03/23 21:05:00;1036.1;7.85
2016/03/23 21:10:00;1036.3;7.85
2016/03/23 21:15:00;1035.9;7.85
2016/03/23 21:20:00;1036.1;7.86
2016/03/23 21:25:00;1036.0;7.86
2016/03/23 21:30:00;1036.3;7.85
2016/03/23 21:35:00;1036.0;7.86
2016/03/23 21:40:00;1036.0;7.86
