ID,agent 1,agent 2,IPO8,TBP,CYC1,HPRT1,YWHAZ
39,20.4433,19.6698,27.409,29.4615,26.3495,27.238,25.84266667
69,14.41,16.6314,26.7345,29.149,25.7515,26.50233333,24.64833333
106,9.93,16.2571,27.512,30.0325,26.315,27.08533333,25.63033333
177,31.3967,15.7903,26.6405,28.83,25.2765,26.25466667,24.85566667
179,34.43,18.1129,27.12,29.264,25.861,26.66166667,25.14666667
186,19.2367,13.124,27.615,29.948,26.1485,26.95866667,25.04433333
191,21.2233,15.1993,27.946,30.125,27.047,27.062,25.794
195,28.82,16.0744,26.305,28.7905,25.3855,26.38066667,24.55166667
200,34.7433,18.4265,27.688,29.916,26.7505,27.69733333,26.58366667
214,25.71,18.6911,27.5975,29.8235,26.498,27.33266667,26.211
215,16.9333,17.2698,26.987,29.1095,25.745,26.735,24.725
220,22.3333,22.0436,27.0465,29.423,25.679,26.15966667,24.66333333
225,19.5767,19.688,27.6305,29.694,26.4725,27.175,25.715
226,13.5167,19.8846,27.8335,29.915,26.634,27.11233333,26.19566667
228,17.2233,20.3059,26.9815,29.3675,25.9565,26.768,25.43633333
231,17.2267,18.1759,28.0565,30.3095,26.573,26.96,26.23266667
233,7.99,16.3915,27.4175,29.822,26.12,26.60966667,25.4735
236,13.0667,21.0321,25.9115,28.6585,25.5915,26.577,23.76633333
237,10.1833,19.6519,27.4105,29.702,26.203,26.744,25.417
241,9.1833,17.6843,28.2455,30.4455,26.413,27.24833333,26.275
250,11.68,20.9736,27.8705,30.009,26.7565,27.44066667,26.102
253,10.09,18.7513,27.372,29.6935,26.587,26.9735,26.59966667
259,11.2967,19.1199,27.477,29.893,26.335,27.244,25.87566667
282,15.6733,17.744,28.5335,30.355,26.6845,28.25666667,27.00633333
294,31.6167,17.5632,27.192,29.344,26.228,26.90133333,25.51366667
309,9.3033,13.2624,27.216,29.3375,25.5465,26.47166667,25.56866667
310,7.27,11.6576,28.139,30.084,26.3655,27.37433333,26.299
321,23.0033,13.023,27.3165,29.6435,25.86,27.04666667,25.57233333
324,34.7733,17.2469,27.5445,29.783,25.743,26.70833333,25.19333333
328,30.6733,14.3276,27.5655,29.75,26.311,26.919,25.23433333
353,29.4367,17.2561,26.8865,28.989,25.6565,26.35933333,25.20066667
359,21.3667,13.6907,27.296,29.392,25.9695,26.86733333,25.83566667
360,22.8667,20.3929,27.9215,30.0475,26.4835,27.17633333,26.25333333
