Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/05/2016
TIME       : 12:57:22
FILENAME   : vei_t8320_160519125721_T8320.CSV
CREATED BY : SWS Diver-Office 5.0.25.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =BB00-T8320  214.
  Instrument number       =                    
                          =0
  Location                =vei_t8320
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB00-T8320  214.
  Instrument number       =                    
  Location                =vei_t8320
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 23/03/16
  End date / time         =00:55:11 19/05/16
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =750.0     cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
16416
Date/time;Druk[cm];Temperatuur[°C]
2016/03/23 12:00:00;1033.3;21.22
2016/03/23 12:05:00;1034.2;21.53
2016/03/23 12:10:00;1034.9;21.87
2016/03/23 12:15:00;1035.2;22.20
2016/03/23 12:20:00;1035.2;22.42
2016/03/23 12:25:00;1035.2;22.37
2016/03/23 12:30:00;1035.1;21.95
2016/03/23 12:35:00;1035.1;21.56
2016/03/23 12:40:00;1035.1;21.22
2016/03/23 12:45:00;1035.1;20.94
2016/03/23 12:50:00;1034.8;20.70
2016/03/23 12:55:00;1034.9;20.51
2016/03/23 13:00:00;1034.7;20.36
2016/03/23 13:05:00;1034.9;20.24
2016/03/23 13:10:00;1034.7;20.15
2016/03/23 13:15:00;1034.7;20.08
2016/03/23 13:20:00;1034.7;20.02
2016/03/23 13:25:00;1035.2;19.94
2016/03/23 13:30:00;1035.1;19.86
2016/03/23 13:35:00;1035.1;19.83
2016/03/23 13:40:00;1034.9;19.60
2016/03/23 13:45:00;1034.9;19.40
2016/03/23 13:50:00;1034.7;19.28
2016/03/23 13:55:00;1034.7;19.23
2016/03/23 14:00:00;1034.7;19.22
2016/03/23 14:05:00;1034.7;19.19
2016/03/23 14:10:00;1034.5;19.13
2016/03/23 14:15:00;1034.6;19.05
2016/03/23 14:20:00;1034.5;18.97
2016/03/23 14:25:00;1034.5;18.91
2016/03/23 14:30:00;1034.4;18.84
2016/03/23 14:35:00;1034.9;18.75
2016/03/23 14:40:00;1034.7;18.38
2016/03/23 14:45:00;1034.7;17.86
2016/03/23 14:50:00;1034.7;17.55
2016/03/23 14:55:00;1034.7;17.33
2016/03/23 15:00:00;1034.6;17.17
2016/03/23 15:05:00;1034.7;17.05
2016/03/23 15:10:00;1034.7;16.94
2016/03/23 15:15:00;1034.7;16.85
2016/03/23 15:20:00;1034.4;16.78
2016/03/23 15:25:00;1034.4;16.76
2016/03/23 15:30:00;1034.6;16.76
2016/03/23 15:35:00;1034.5;16.74
2016/03/23 15:40:00;1034.4;16.66
2016/03/23 15:45:00;1034.5;16.58
2016/03/23 15:50:00;1034.5;16.56
2016/03/23 15:55:00;1034.4;16.63
2016/03/23 16:00:00;1034.4;16.67
2016/03/23 16:05:00;1034.2;20.11
2016/03/23 16:10:00;1034.6;20.14
2016/03/23 16:15:00;1034.4;20.17
2016/03/23 16:20:00;1035.1;20.38
2016/03/23 16:25:00;1034.4;19.40
2016/03/23 16:30:00;1034.5;17.14
2016/03/23 16:35:00;1034.5;15.45
2016/03/23 16:40:00;1034.9;14.19
2016/03/23 16:45:00;1035.0;13.23
2016/03/23 16:50:00;1034.9;12.47
2016/03/23 16:55:00;1035.0;11.88
2016/03/23 17:00:00;1035.2;11.41
2016/03/23 17:05:00;1035.2;11.04
2016/03/23 17:10:00;1035.1;10.74
2016/03/23 17:15:00;1035.3;10.49
2016/03/23 17:20:00;1035.3;10.30
2016/03/23 17:25:00;1035.1;10.13
2016/03/23 17:30:00;1035.3;10.00
2016/03/23 17:35:00;1035.5;9.88
2016/03/23 17:40:00;1035.5;9.79
2016/03/23 17:45:00;1035.3;9.72
2016/03/23 17:50:00;1035.3;9.65
2016/03/23 17:55:00;1035.3;9.59
2016/03/23 18:00:00;1035.6;9.55
2016/03/23 18:05:00;1035.6;9.51
2016/03/23 18:10:00;1035.5;9.48
2016/03/23 18:15:00;1035.8;9.45
2016/03/23 18:20:00;1035.8;9.43
2016/03/23 18:25:00;1035.8;9.41
2016/03/23 18:30:00;1035.6;9.39
2016/03/23 18:35:00;1035.9;9.38
2016/03/23 18:40:00;1036.0;9.37
2016/03/23 18:45:00;1035.8;9.36
2016/03/23 18:50:00;1035.9;9.35
2016/03/23 18:55:00;1036.1;9.34
2016/03/23 19:00:00;1036.0;9.33
2016/03/23 19:05:00;1036.0;9.33
2016/03/23 19:10:00;1036.1;9.32
2016/03/23 19:15:00;1036.0;9.32
2016/03/23 19:20:00;1036.1;9.32
2016/03/23 19:25:00;1036.1;9.31
2016/03/23 19:30:00;1036.1;9.31
2016/03/23 19:35:00;1036.1;9.31
2016/03/23 19:40:00;1036.1;9.30
2016/03/23 19:45:00;1036.2;9.30
2016/03/23 19:50:00;1036.1;9.30
2016/03/23 19:55:00;1036.1;9.30
2016/03/23 20:00:00;1036.2;9.30
2016/03/23 20:05:00;1036.2;9.30
2016/03/23 20:10:00;1036.1;9.30
2016/03/23 20:15:00;1036.2;9.30
2016/03/23 20:20:00;1036.1;9.30
2016/03/23 20:25:00;1036.2;9.30
2016/03/23 20:30:00;1036.2;9.30
2016/03/23 20:35:00;1036.2;9.30
2016/03/23 20:40:00;1036.2;9.30
2016/03/23 20:45:00;1036.2;9.30
2016/03/23 20:50:00;1036.2;9.30
2016/03/23 20:55:00;1036.2;9.30
2016/03/23 21:00:00;1036.2;9.30
2016/03/23 21:05:00;1036.2;9.30
2016/03/23 21:10:00;1036.2;9.30
2016/03/23 21:15:00;1036.4;9.30
2016/03/23 21:20:00;1036.4;9.30
2016/03/23 21:25:00;1036.2;9.30
2016/03/23 21:30:00;1036.4;9.30
2016/03/23 21:35:00;1036.2;9.30
2016/03/23 21:40:00;1036.4;9.31
2016/03/23 21:45:00;1036.4;9.31
2016/03/23 21:50:00;1036.4;9.31
2016/03/23 21:55:00;1036.4;9.31
2016/03/23 22:00:00;1036.6;9.31
2016/03/23 22:05:00;1036.6;9.31
2016/03/23 22:10:00;1036.4;9.31
2016/03/23 22:15:00;1036.3;9.31
2016/03/23 22:20:00;1036.1;9.32
2016/03/23 22:25:00;1036.1;9.32
2016/03/23 22:30:00;1036.4;9.32
2016/03/23 22:35:00;1036.3;9.32
2016/03/23 22:40:00;1036.4;9.32
2016/03/23 22:45:00;1036.3;9.32
2016/03/23 22:50:00;1036.3;9.32
2016/03/23 22:55:00;1036.1;9.32
2016/03/23 23:00:00;1036.4;9.32
2016/03/23 23:05:00;1036.4;9.32
2016/03/23 23:10:00;1036.4;9.32
2016/03/23 23:15:00;1036.4;9.32
2016/03/23 23:20:00;1036.4;9.32
2016/03/23 23:25:00;1036.2;9.33
2016/03/23 23:30:00;1036.3;9.33
2016/03/23 23:35:00;1036.2;9.33
2016/03/23 23:40:00;1036.2;9.33
2016/03/23 23:45:00;1036.3;9.33
2016/03/23 23:50:00;1036.4;9.34
2016/03/23 23:55:00;1036.2;9.34
2016/03/24 00:00:00;1036.2;9.34
2016/03/24 00:05:00;1036.2;9.34
2016/03/24 00:10:00;1036.2;9.35
2016/03/24 00:15:00;1036.4;9.34
2016/03/24 00:20:00;1036.2;9.35
2016/03/24 00:25:00;1036.4;9.35
2016/03/24 00:30:00;1036.4;9.35
2016/03/24 00:35:00;1036.4;9.35
2016/03/24 00:40:00;1036.4;9.35
2016/03/24 00:45:00;1036.6;9.35
2016/03/24 00:50:00;1036.4;9.35
2016/03/24 00:55:00;1036.3;9.35
