schedule,chunk,ppn,runtime
static,30,12,1.5917266666666665
static,4860,2,8.171240000000001
guided,670,15,2.3501399999999997
guided,33600,18,1.94371
static,10,20,0.973173
static,2020,3,5.548903333333333
guided,38720,9,3.6095133333333336
static,170,17,1.12221
guided,20,19,1.8704866666666664
dynamic,1540,16,1.1803033333333333
guided,13590,4,7.890280000000001
guided,640,19,1.8747300000000002
static,17440,1,16.3079
dynamic,30,8,2.340626666666667
static,640,4,4.144383333333333
static,1190,15,1.2598833333333332
dynamic,20,12,1.6445566666666667
guided,5270,19,1.8640433333333333
static,20,2,8.202146666666666
static,310,8,2.2976733333333335
static,110,17,1.1303633333333334
static,10,20,0.9763526666666668
static,10,20,0.973322
dynamic,40390,13,1.44515
static,40,20,0.9681323333333335
static,60,11,1.7311266666666667
static,40,16,1.2161833333333334
dynamic,27980,6,2.931623333333333
static,10,5,3.529426666666667
static,90,13,1.6347733333333334
static,20,18,1.0730633333333335
static,330,19,1.0033966666666665
static,10,10,1.9039966666666668
dynamic,320,4,4.171130000000001
static,40,7,2.605306666666667
static,39790,9,2.0867400000000003
guided,10,10,3.4001
static,20,20,0.9695423333333334
static,200,6,2.9567533333333333
guided,90,20,1.7312066666666668
dynamic,3290,18,1.0509233333333334
static,80,20,0.9635616666666666
guided,1690,1,16.29733333333333
static,580,20,0.9542913333333333
static,3770,14,1.3494266666666668
dynamic,180,9,2.0659433333333332
guided,80,12,2.78943
static,520,16,1.1848299999999998
static,1370,12,1.5966033333333334
guided,90,3,10.3038
dynamic,10740,19,0.9967216666666667
static,10780,1,16.294133333333335
static,2910,20,0.955419
static,4950,3,5.553296666666665
guided,2880,11,3.0660833333333333
static,55950,19,1.02436
dynamic,90,3,5.532123333333334
static,2840,4,4.151026666666667
static,10990,11,1.7155166666666668
static,1090,15,1.4147833333333333
dynamic,10,14,1.51847
guided,360,2,8.16883
static,6740,18,1.0579033333333332
static,26170,2,8.168726666666666
static,1730,8,2.2887466666666665
static,340,20,0.9530979999999999
static,800,20,0.953858
static,810,20,0.9551963333333333
static,390,20,0.9521623333333333
static,210,17,1.11862
static,350,10,1.88314
static,150,5,3.52176
static,440,6,2.951776666666667
static,770,9,2.0785533333333333
static,250,13,1.4535900000000002
dynamic,6450,1,16.303933333333333
static,2040,20,0.9535973333333333
guided,20,7,4.4362200000000005
static,2180,14,1.3496966666666665
static,1400,7,2.5986233333333333
static,130,20,0.9636043333333334
dynamic,1210,11,1.7037366666666667
static,7790,3,5.505356666666667
guided,10040,14,2.4466666666666668
static,440,1,16.301933333333334
static,60,4,4.228196666666666
static,280,12,1.5717033333333335
dynamic,60,5,3.476433333333334
guided,300,8,4.170116666666666
static,1040,20,0.9560566666666667
static,2080,8,2.3060466666666666
static,100,15,1.2734233333333334
dynamic,550,7,2.565443333333333
static,30,16,1.2011066666666668
guided,59540,17,2.06512
static,4170,2,8.17
static,180,20,0.9616233333333333
static,2840,11,1.70801
dynamic,17680,10,1.8717233333333334
static,18120,17,1.1260466666666666
