schedule,chunk,ppn,runtime
guided,3020,20,0.589315
dynamic,13470,2,4.812006666666666
guided,70,3,3.226713333333333
static,550,16,0.7631010000000001
static,40,6,1.8621333333333334
dynamic,400,11,0.925716
dynamic,30,13,0.802422
guided,29140,20,0.6024636666666666
guided,35040,19,0.6036973333333333
dynamic,20280,1,8.33697
static,20,6,1.9154733333333336
guided,2620,6,1.8101233333333333
guided,90,8,1.3360599999999998
static,370,12,1.0066
dynamic,2990,10,1.0134766666666666
dynamic,10,5,2.1214600000000003
guided,47270,15,0.779528
dynamic,120,7,1.43082
static,600,11,1.0966466666666665
guided,30,5,2.0578066666666666
guided,3550,20,0.5780103333333334
guided,2270,20,0.5677493333333333
guided,810,2,4.78434
guided,6120,11,0.990568
guided,420,16,0.6978840000000001
guided,9260,4,2.53411
guided,520,13,0.8616229999999999
guided,1210,12,0.902005
guided,12120,9,1.24013
guided,280,10,1.1416866666666667
guided,2070,1,8.338323333333333
guided,200,17,0.6597876666666668
static,42510,9,1.32843
guided,17200,7,1.5280666666666667
guided,4850,14,0.8144893333333334
static,59190,19,0.653917
guided,1320,20,0.5649243333333333
dynamic,55350,9,1.1257566666666667
guided,10,18,0.6439823333333333
static,7810,10,1.1946899999999998
guided,1250,20,0.581125
dynamic,2080,6,1.63648
guided,130,20,0.5859943333333333
static,5650,3,3.5127200000000003
dynamic,10,20,0.5997933333333333
guided,1380,16,0.6813666666666666
guided,570,10,1.1465733333333334
static,80,4,2.6526566666666667
dynamic,50,15,0.6972223333333334
guided,7110,20,0.5779263333333334
guided,40,18,0.620548
dynamic,370,8,1.2520299999999998
guided,2310,3,3.16793
static,5210,7,1.6401633333333334
guided,21120,20,0.5948866666666667
guided,230,11,0.988111
dynamic,2690,14,0.7293083333333333
guided,3680,19,0.629715
guided,10,8,1.3253133333333336
static,10,18,0.7046943333333333
guided,830,2,4.78555
guided,57170,15,0.76663
dynamic,12000,16,0.6470966666666667
guided,70,6,1.7808166666666665
static,16170,5,2.2223400000000004
guided,7630,20,0.5824773333333333
guided,13080,20,0.5657359999999999
guided,39980,5,2.1055533333333334
guided,24880,20,0.590386
guided,13160,4,2.4379266666666664
guided,1710,13,0.8712396666666667
guided,3480,20,0.5877116666666667
guided,5040,9,1.25018
guided,890,7,1.5846166666666666
guided,10370,1,8.335666666666667
guided,300,17,0.6679476666666666
guided,2930,12,0.9426863333333334
guided,440,14,0.786128
dynamic,57580,4,2.42371
static,140,17,0.7328313333333333
guided,30960,3,3.2276900000000004
guided,15630,20,0.5811926666666667
guided,1860,19,0.6137353333333334
dynamic,120,3,3.261153333333333
guided,130,6,1.7619733333333334
static,1950,8,1.4486066666666666
guided,5130,8,1.3433833333333336
guided,1510,15,0.7391843333333333
guided,1100,20,0.5852953333333333
dynamic,30,12,0.8659466666666665
static,1720,20,0.6286459999999999
guided,750,16,0.7050063333333334
guided,2390,2,4.784576666666666
guided,55720,5,2.0777433333333337
dynamic,940,19,0.5477673333333333
dynamic,1030,19,0.558353
dynamic,1180,19,0.549424
dynamic,1340,19,0.5454396666666667
dynamic,1090,19,0.5546893333333333
dynamic,6420,19,0.5501726666666666
