ID,IPO8,TBP,CYC1,HPRT1,YWHAZ
39,27.409,29.4615,26.3495,27.238,25.84266667
69,26.7345,29.149,25.7515,26.50233333,24.64833333
106,27.512,30.0325,26.315,27.08533333,25.63033333
177,26.6405,28.83,25.2765,26.25466667,24.85566667
179,27.12,29.264,25.861,26.66166667,25.14666667
186,27.615,29.948,26.1485,26.95866667,25.04433333
191,27.946,30.125,27.047,27.062,25.794
195,26.305,28.7905,25.3855,26.38066667,24.55166667
200,27.688,29.916,26.7505,27.69733333,26.58366667
214,27.5975,29.8235,26.498,27.33266667,26.211
215,26.987,29.1095,25.745,26.735,24.725
220,27.0465,29.423,25.679,26.15966667,24.66333333
225,27.6305,29.694,26.4725,27.175,25.715
226,27.8335,29.915,26.634,27.11233333,26.19566667
228,26.9815,29.3675,25.9565,26.768,25.43633333
231,28.0565,30.3095,26.573,26.96,26.23266667
233,27.4175,29.822,26.12,26.60966667,25.4735
236,25.9115,28.6585,25.5915,26.577,23.76633333
237,27.4105,29.702,26.203,26.744,25.417
241,28.2455,30.4455,26.413,27.24833333,26.275
250,27.8705,30.009,26.7565,27.44066667,26.102
253,27.372,29.6935,26.587,26.9735,26.59966667
259,27.477,29.893,26.335,27.244,25.87566667
282,28.5335,30.355,26.6845,28.25666667,27.00633333
294,27.192,29.344,26.228,26.90133333,25.51366667
309,27.216,29.3375,25.5465,26.47166667,25.56866667
310,28.139,30.084,26.3655,27.37433333,26.299
321,27.3165,29.6435,25.86,27.04666667,25.57233333
324,27.5445,29.783,25.743,26.70833333,25.19333333
328,27.5655,29.75,26.311,26.919,25.23433333
353,26.8865,28.989,25.6565,26.35933333,25.20066667
359,27.296,29.392,25.9695,26.86733333,25.83566667
360,27.9215,30.0475,26.4835,27.17633333,26.25333333
361,27.3355,29.5135,25.8415,26.791,25.424
363,27.6515,29.774,26.2405,27.241,26.01733333
364,27.2835,29.688,26.097,26.72933333,25.54766667
365,27.4825,29.835,26.3285,26.81633333,25.55366667
367,29.089,31.0205,27.1725,27.54733333,27.108
369,27.9245,30.081,26.6515,27.271,26.36433333
370,27.3885,29.474,25.889,26.703,25.63366667
371,27.7855,30.004,26.361,26.95733333,25.624
373,27.81,29.99166667,26.5685,26.984,25.85866667
376,27.312,29.5095,25.9275,26.73433333,25.85533333
377,26.772,29.0255,25.5585,26.656,25.21066667
378,27.62,29.9915,26.4335,26.78366667,25.72066667
380,26.511,29.1155,25.79,26.08033333,24.53433333
384,27.5165,29.489,26.303,27.04,25.74133333
387,27.803,30.0025,26.4035,27.621,26.175
391,27.5055,29.6565,26.183,27.10766667,25.87266667
392,27.782,29.4805,26.5575,27.346,25.99866667
395,27.558,29.328,26.4045,27.37333333,26.075
397,27.936,29.963,26.879,27.34566667,26.51133333
399,27.5055,29.314,25.9655,27.246,25.921
401,27.775,29.8965,26.656,27.03133333,25.75933333
402,27.451,29.5655,26.274,26.937,25.61466667
404,27.399,29.637,26.143,26.96333333,25.55533333
405,27.581,29.5465,26.889,27.22533333,25.823
406,26.831,29.27,26.5145,26.496,25.228
408,27.5365,30.039,26.5965,27.01166667,25.99833333
410,27.113,29.2335,26.05,27.04066667,25.447
411,27.0425,28.907,25.54,26.922,25.11233333
412,27.601,29.616,26.58,26.9235,25.58066667
413,27.5575,29.593,26.163,26.777,25.42966667
414,27.486,29.738,26.0375,26.84933333,25.612
415,27.758,29.801,26.485,27.17533333,26.19033333
417,27.596,29.666,26.405,27.32633333,25.87733333
420,27.609,29.5205,26.4495,27.20066667,25.699
421,27.6925,29.805,26.804,27.5,26.06466667
422,27.881,29.7085,26.1935,27.118,26.52166667
424,27.69,29.8145,26.086,26.68733333,25.742
425,28.6755,31.077,27.1355,28.799,26.998
426,27.2445,29.41,25.9835,26.81433333,25.69933333
427,26.9765,29.068,25.5705,26.79533333,25.201
428,27.904,29.899,26.655,27.75633333,26.05266667
429,27.787,29.705,26.0705,27.54433333,26.033
431,28.535,30.469,26.95,28.343,26.811
433,27.419,29.4505,26.1285,27.64533333,25.85833333
435,27.0965,29.294,25.8535,26.94266667,25.28466667
531,26.829,29.079,25.672,26.509,24.69866667
535,27.3955,29.51,26.218,27.31366667,26.09166667
537,27.8055,29.9355,26.4895,27.49433333,26.23066667
538,28.0355,30.125,26.62633333,27.47366667,26.207
